RAVE,BUY,LIMIT,IOC,338,0.4795600,0.4681755,FILLED,74,338,1766846151649,162.09127999999998
AIN,BUY,LIMIT,IOC,1597,0.0592800,0.0584067,FILLED,1078,1597,1766846152504,94.67016
RLS,SELL,LIMIT,IOC,49724,0.0126160,0.0129239,FILLED,4535,49724,1766846153251,627.317984
FLOW,SELL,LIMIT,IOC,1665.1,0.107,0.108,FILLED,1665.1,1665.1,1766846157074,178.1657
AT,BUY,LIMIT,IOC,1545,0.1614000,0.1593941,FILLED,710,1545,1766846159127,249.36299999999997
STABLE,BUY,LIMIT,IOC,22799,0.0133970,0.0132825,FILLED,4710,22799,1766846161436,305.438203
STABLE,BUY,LIMIT,IOC,2800,0.0134000,0.0132780,FILLED,1204,2800,1766846162726,37.52
AIN,BUY,LIMIT,IOC,106,0.0593900,0.0586900,FILLED,106,106,1766846165631,6.2953399999999995
ZECUSDC,SELL,LIMIT,IOC,1.318,503.34,508.26,FILLED,0.678,1.318,1766846169268,663.40212
RLS,SELL,LIMIT,IOC,755,0.0125860,0.0129050,FILLED,755,755,1766846172565,9.50243
BEAT,SELL,LIMIT,IOC,89,2.0693958,2.1035955,FILLED,44,89,1766846177588,184.1762262
BEAT,SELL,LIMIT,IOC,81,2.0681000,2.1019567,FILLED,2,81,1766846178654,167.5161
B2,SELL,LIMIT,IOC,19,0.7548000,0.7645000,FILLED,19,19,1766846180154,14.3412
B2,SELL,LIMIT,IOC,34,0.7545000,0.7641000,FILLED,34,34,1766846181213,25.653
BEAT,SELL,LIMIT,IOC,66,2.0642000,2.1024000,FILLED,66,66,1766846185093,136.2372
BIGTIME,SELL,LIMIT,IOC,5594,0.0200800,0.0202700,FILLED,5594,5594,1766846188351,112.32752
RAVE,BUY,LIMIT,IOC,324,0.4817300,0.4712308,FILLED,176,324,1766846203700,156.08052
BEAT,SELL,LIMIT,IOC,429,2.0529040,2.0930200,FILLED,18,429,1766846204580,880.6958159999999
POWR,BUY,LIMIT,IOC,2042,0.0817379,0.0805400,FILLED,41,2042,1766846204580,166.90879180000002
RAVE,BUY,LIMIT,IOC,779,0.4832800,0.4719911,FILLED,10,779,1766846205421,376.47512
TRU,BUY,LIMIT,IOC,7420,0.0118700,0.0116600,FILLED,7420,7420,1766846205510,88.0754
RAVE,BUY,LIMIT,IOC,181,0.4843800,0.4730500,FILLED,175,181,1766846210322,87.67277999999999
ONT,BUY,LIMIT,IOC,1698.0,0.0709,0.0702,FILLED,1698.0,1698.0,1766846212548,120.38820000000001
NIL,SELL,LIMIT,IOC,4643.3,0.076630,0.077615,FILLED,526.6,4643.3,1766846213120,355.81607900000006
KGEN,BUY,LIMIT,IOC,202,0.2104700,0.2076000,FILLED,202,202,1766846213553,42.514939999999996
RLS,SELL,LIMIT,IOC,377957,0.0125680,0.0128934,FILLED,8355,377957,1766846219231,4750.163576
NIL,SELL,LIMIT,IOC,235.0,0.076380,0.077540,FILLED,235.0,235.0,1766846221339,17.9493
AT,SELL,LIMIT,IOC,261,0.1552000,0.1573700,FILLED,261,261,1766846235489,40.507200000000005
STABLE,SELL,LIMIT,IOC,3795,0.0130950,0.0131720,FILLED,3795,3795,1766846237408,49.695525
RVV,BUY,LIMIT,IOC,18523,0.0040790,0.0038878,FILLED,17171,18523,1766846237463,75.555317
RVV,BUY,LIMIT,IOC,54221,0.0040840,0.0038813,FILLED,13143,54221,1766846241124,221.43856399999999
BOB,BUY,LIMIT,IOC,981,0.0122450,0.0119645,FILLED,58,981,1766846243215,12.012345
HIPPO,SELL,LIMIT,IOC,3727865,0.0009680,0.0010147,FILLED,232110,3727865,1766846259550,3608.57332
HIPPO,SELL,LIMIT,IOC,18464,0.0009670,0.0010160,FILLED,18464,18464,1766846262728,17.854688
IR,SELL,LIMIT,IOC,172,0.1244800,0.1268400,FILLED,172,172,1766846266109,21.41056
RAVE,BUY,LIMIT,IOC,487,0.4852500,0.4735186,FILLED,19,487,1766846285093,236.31675
APT,BUY,LIMIT,IOC,99.3,1.75810,1.74040,FILLED,99.3,99.3,1766846300137,174.57933
RENDER,BUY,LIMIT,IOC,8.3,1.2970000,1.2850000,FILLED,8.3,8.3,1766846300565,10.7651
MAVIA,SELL,LIMIT,IOC,274,0.0489700,0.0503800,FILLED,274,274,1766846316083,13.41778
0G,BUY,LIMIT,IOC,6,1.0320000,1.0221000,FILLED,6,6,1766846324384,6.192
BANK,BUY,LIMIT,IOC,1837,0.0542900,0.0535094,FILLED,1743,1837,1766846331662,99.73073
ZKP,SELL,LIMIT,IOC,2421,0.1553300,0.1582868,FILLED,190,2421,1766846339064,376.05393
ONT,BUY,LIMIT,IOC,18861.6,0.0712,0.0705,FILLED,9833.9,18861.6,1766846346271,1342.94592
RAVE,BUY,LIMIT,IOC,5027,0.4872000,0.4756299,FILLED,278,5027,1766846346611,2449.1544
BANK,BUY,LIMIT,IOC,765,0.0544100,0.0536500,FILLED,765,765,1766846353626,41.62365
BANK,BUY,LIMIT,IOC,444,0.0544600,0.0536900,FILLED,444,444,1766846357512,24.18024
ZKP,BUY,LIMIT,IOC,4310,0.1628600,0.1597778,FILLED,237,4310,1766846373434,701.9266
RAVE,BUY,LIMIT,IOC,103,0.4877700,0.4763532,FILLED,13,103,1766846373485,50.24031
CC,BUY,LIMIT,IOC,30609,0.1115800,0.1106980,FILLED,778,30609,1766846374723,3415.3522199999998
BEAT,SELL,LIMIT,IOC,601,2.0563000,2.0990910,FILLED,4,601,1766846374723,1235.8363
RAVE,BUY,LIMIT,IOC,342,0.4881900,0.4767763,FILLED,38,342,1766846375187,166.96098
SQD,BUY,LIMIT,IOC,2329,0.0629600,0.0620200,FILLED,2329,2329,1766846391348,146.63384
VELVET,SELL,LIMIT,IOC,8971,0.1456400,0.1473356,FILLED,2705,8971,1766846396661,1306.5364399999999
FLOW,SELL,LIMIT,IOC,1967.1,0.107,0.108,FILLED,1967.1,1967.1,1766846402094,210.47969999999998
GAS,SELL,LIMIT,IOC,1153.5,2.068000,2.085291,FILLED,1.1,1153.5,1766846415688,2385.438
FIL,SELL,LIMIT,IOC,834.7,1.233,1.240,FILLED,650.5,834.7,1766846415688,1029.1851000000001
KGEN,BUY,LIMIT,IOC,19035,0.2118100,0.2089508,FILLED,619,19035,1766846418695,4031.80335
B2,SELL,LIMIT,IOC,1536,0.7532469,0.7634754,FILLED,517,1536,1766846423437,1156.9872384
KGEN,BUY,LIMIT,IOC,96,0.2122800,0.2093500,FILLED,96,96,1766846428489,20.37888
KGEN,BUY,LIMIT,IOC,3315,0.2127800,0.2097869,FILLED,103,3315,1766846439669,705.3657
XVG,BUY,LIMIT,IOC,1250,0.0052960,0.0052130,FILLED,242,1250,1766846443127,6.62
VELVET,SELL,LIMIT,IOC,2889,0.1436100,0.1455362,FILLED,804,2889,1766846448296,414.88928999999996
VELVET,SELL,LIMIT,IOC,1161,0.1432706,0.1458836,FILLED,1,1161,1766846449750,166.3371666
DASH,BUY,LIMIT,IOC,10.725,44.76,44.32,FILLED,10.242,10.725,1766846451271,480.051
TRU,BUY,LIMIT,IOC,21533,0.0119200,0.0117400,FILLED,4126,21533,1766846458553,256.67336
ZEN,BUY,LIMIT,IOC,35.6,9.299,9.212,FILLED,15.9,35.6,1766846460718,331.0444
NIGHT,SELL,LIMIT,IOC,248,0.0834700,0.0847100,FILLED,248,248,1766846461174,20.70056
TRUMP,BUY,LIMIT,IOC,1.05,4.995000,4.947000,FILLED,1.05,1.05,1766846464719,5.244750000000001
CC,BUY,LIMIT,IOC,22224,0.1119200,0.1108560,FILLED,9,22224,1766846466328,2487.31008
S,SELL,LIMIT,IOC,1500,0.0722000,0.0729100,FILLED,1500,1500,1766846467109,108.3
CC,BUY,LIMIT,IOC,268,0.1121400,0.1110439,FILLED,113,268,1766846479566,30.053520000000002
CC,BUY,LIMIT,IOC,4224,0.1121600,0.1110916,FILLED,704,4224,1766846485267,473.76383999999996
ONT,BUY,LIMIT,IOC,4631.2,0.0708,0.0702,FILLED,4631.2,4631.2,1766846485267,327.88896
ZEN,BUY,LIMIT,IOC,49.8,9.299,9.207,FILLED,26.8,49.8,1766846485267,463.0901999999999
KGEN,SELL,LIMIT,IOC,2735,0.2048600,0.2077463,FILLED,170,2735,1766846492620,560.2921
BEAT,BUY,LIMIT,IOC,24,2.1538000,2.1128000,FILLED,24,24,1766846496212,51.691199999999995
BEAT,BUY,LIMIT,IOC,4,2.1587000,2.1165250,FILLED,1,4,1766846516525,8.6348
FARTCOIN,BUY,LIMIT,IOC,96.5,0.3148000,0.3117000,FILLED,96.5,96.5,1766846520258,30.378200000000003
BEAT,BUY,LIMIT,IOC,3,2.1642000,2.1209000,FILLED,3,3,1766846550676,6.4926
LIGHT,SELL,LIMIT,IOC,100,0.5478000,0.5556000,FILLED,100,100,1766846558170,54.779999999999994
DAM,BUY,LIMIT,IOC,4622,0.0237800,0.0226800,FILLED,3544,4622,1766846646600,109.91116
NIGHT,BUY,LIMIT,IOC,215,0.0863400,0.0852400,FILLED,215,215,1766846647317,18.5631
ONT,BUY,LIMIT,IOC,20398.2,0.0710,0.0704,FILLED,20398.2,20398.2,1766846648148,1448.2721999999999
NIGHT,BUY,LIMIT,IOC,607,0.0863800,0.0852200,FILLED,607,607,1766846648605,52.43266
DAM,BUY,LIMIT,IOC,1115,0.0238300,0.0226512,FILLED,628,1115,1766846650522,26.57045
ONT,BUY,LIMIT,IOC,4579.6,0.0711,0.0705,FILLED,4579.6,4579.6,1766846662070,325.60956
VET,BUY,LIMIT,IOC,1801,0.010894,0.010833,FILLED,870,1801,1766846665619,19.620093999999998
LTC,BUY,LIMIT,IOC,24.080,78.72,78.36,FILLED,2.594,24.080,1766846670422,1895.5775999999998
LTC,BUY,LIMIT,IOC,1.050,78.73,78.40,FILLED,1.050,1.050,1766846672736,82.66650000000001
IOTA,BUY,LIMIT,IOC,21737.6,0.0870,0.0862,FILLED,1124.4,21737.6,1766846675383,1891.1711999999998
RVV,BUY,LIMIT,IOC,291036,0.0041170,0.0039474,FILLED,39777,291036,1766846683066,1198.195212
RVV,BUY,LIMIT,IOC,14809,0.0041220,0.0039502,FILLED,1550,14809,1766846685713,61.042697999999994
RVV,BUY,LIMIT,IOC,5572,0.0041320,0.0039430,FILLED,5572,5572,1766846687136,23.023504000000003
RVV,BUY,LIMIT,IOC,16528,0.0041340,0.0039558,FILLED,13528,16528,1766846695470,68.326752
ZK,SELL,LIMIT,IOC,28894,0.0312445,0.0315415,FILLED,1308,28894,1766846696650,902.778583
RVV,BUY,LIMIT,IOC,1824,0.0041480,0.0039530,FILLED,1824,1824,1766846702179,7.565951999999999
RVV,BUY,LIMIT,IOC,1823,0.0041500,0.0039630,FILLED,1823,1823,1766846703566,7.56545
RVV,BUY,LIMIT,IOC,31755,0.0041690,0.0039650,FILLED,31755,31755,1766846706140,132.386595
NIGHT,BUY,LIMIT,IOC,58521,0.0869900,0.0858618,FILLED,4810,58521,1766846708656,5090.74179
RVV,BUY,LIMIT,IOC,17203,0.0041760,0.0039776,FILLED,11403,17203,1766846709580,71.839728
NIGHT,BUY,LIMIT,IOC,503,0.0871500,0.0858300,FILLED,503,503,1766846710531,43.83645
ONT,BUY,LIMIT,IOC,85.5,0.0712,0.0707,FILLED,85.5,85.5,1766846711248,6.0876
RVV,BUY,LIMIT,IOC,5377,0.0041790,0.0039734,FILLED,2577,5377,1766846711313,22.470483
DEXE,BUY,LIMIT,IOC,99.65,3.096000,3.053000,FILLED,25.13,99.65,1766846714239,308.51640000000003
ONT,BUY,LIMIT,IOC,12004.2,0.0713,0.0707,FILLED,6254.9,12004.2,1766846714649,855.8994600000001
ONT,BUY,LIMIT,IOC,156.4,0.0714,0.0706,FILLED,156.4,156.4,1766846719086,11.166960000000001
RVV,BUY,LIMIT,IOC,30530,0.0041880,0.0040077,FILLED,21828,30530,1766846722126,127.85964
ONT,BUY,LIMIT,IOC,339.7,0.0714,0.0706,FILLED,339.7,339.7,1766846723261,24.25458
ONT,BUY,LIMIT,IOC,40771.5,0.0715,0.0708,FILLED,31020.9,40771.5,1766846729599,2915.16225
RVV,BUY,LIMIT,IOC,5326,0.0042010,0.0040100,FILLED,5326,5326,1766846730138,22.374526
ONT,BUY,LIMIT,IOC,42492.9,0.0716,0.0707,FILLED,1517.7,42492.9,1766846732225,3042.49164
NIGHT,BUY,LIMIT,IOC,208,0.0871700,0.0858500,FILLED,208,208,1766846736653,18.13136
RVV,BUY,LIMIT,IOC,2962,0.0042050,0.0039990,FILLED,2962,2962,1766846747546,12.455210000000001
ACT,BUY,LIMIT,IOC,2034,0.0442500,0.0434022,FILLED,451,2034,1766846747703,90.0045
KGEN,SELL,LIMIT,IOC,8131,0.2006800,0.2033756,FILLED,437,8131,1766846757667,1631.72908
BAN,SELL,LIMIT,IOC,720,0.0776700,0.0787789,FILLED,416,720,1766846757667,55.9224
OG,SELL,LIMIT,IOC,2.3,11.468000,11.632000,FILLED,2.3,2.3,1766846757667,26.376399999999997
ZBT,SELL,LIMIT,IOC,5418,0.1125000,0.1141000,FILLED,3905,5418,1766846764294,609.525
AIN,BUY,LIMIT,IOC,112,0.0595500,0.0587600,FILLED,112,112,1766846765494,6.6696
AIN,BUY,LIMIT,IOC,369,0.0595900,0.0587100,FILLED,369,369,1766846768222,21.988709999999998
NIL,SELL,LIMIT,IOC,78.4,0.076300,0.077500,FILLED,78.4,78.4,1766846771149,5.981920000000001
ZKP,SELL,LIMIT,IOC,2519,0.1550300,0.1580163,FILLED,926,2519,1766846779226,390.52057
NIL,SELL,LIMIT,IOC,78.5,0.076240,0.077220,FILLED,78.5,78.5,1766846785186,5.98484
CC,BUY,LIMIT,IOC,1714,0.1126900,0.1119883,FILLED,1237,1714,1766846791219,193.15066
CC,BUY,LIMIT,IOC,13491,0.1171800,0.1118902,FILLED,208,13491,1766846797198,1580.8753800000002
KAITO,SELL,LIMIT,IOC,1727.5,0.550300,0.555300,FILLED,319.1,1727.5,1766846800247,950.64325
CFX,BUY,LIMIT,IOC,5181,0.0741300,0.0734142,FILLED,1840,5181,1766846815581,384.06753000000003
TRU,BUY,LIMIT,IOC,9269,0.0119500,0.0117900,FILLED,5444,9269,1766846818105,110.76455
KGEN,SELL,LIMIT,IOC,3779,0.1999500,0.2035023,FILLED,414,3779,1766846821432,755.61105
TRU,BUY,LIMIT,IOC,40000,0.0119600,0.0117993,FILLED,37521,40000,1766846832722,478.40000000000003
ONT,SELL,LIMIT,IOC,237.5,0.0694,0.0700,FILLED,237.5,237.5,1766846836287,16.4825
RVV,BUY,LIMIT,IOC,87332,0.0042190,0.0040362,FILLED,872,87332,1766846836604,368.45370799999995
RVV,BUY,LIMIT,IOC,1306,0.0042260,0.0040230,FILLED,1306,1306,1766846837653,5.519156
0G,SELL,LIMIT,IOC,316,0.9982000,1.0084905,FILLED,30,316,1766846841121,315.4312
DAM,BUY,LIMIT,IOC,460,0.0238700,0.0228600,FILLED,460,460,1766846841418,10.9802
1000CHEEMS,SELL,LIMIT,IOC,18183,0.0009624,0.0009713,FILLED,18183,18183,1766846843364,17.4993192
ONT,SELL,LIMIT,IOC,4279.6,0.0692,0.0698,FILLED,4279.6,4279.6,1766846845512,296.14832
DAM,BUY,LIMIT,IOC,1530,0.0239600,0.0229578,FILLED,937,1530,1766846847137,36.6588
DAM,BUY,LIMIT,IOC,18243,0.0239800,0.0229738,FILLED,12413,18243,1766846848288,437.46714000000003
FOLKS,SELL,LIMIT,IOC,7.0,4.087000,4.143000,FILLED,4.5,7.0,1766846849187,28.608999999999998
BEAT,SELL,LIMIT,IOC,350,2.0660000,2.1059505,FILLED,96,350,1766846849379,723.0999999999999
RVV,BUY,LIMIT,IOC,232134,0.0042320,0.0040091,FILLED,82903,232134,1766846849494,982.391088
DAM,BUY,LIMIT,IOC,20199,0.0240600,0.0229800,FILLED,20199,20199,1766846850278,485.98794000000004
ONT,SELL,LIMIT,IOC,48644.1,0.0690,0.0697,FILLED,12570.9,48644.1,1766846850306,3356.4429
BEAT,SELL,LIMIT,IOC,22,2.0656000,2.1044000,FILLED,22,22,1766846850569,45.4432
RVV,BUY,LIMIT,IOC,63695,0.0042402,0.0040125,FILLED,19346,63695,1766846850633,270.079539
ZEN,BUY,LIMIT,IOC,27.8,9.406,9.315,FILLED,9.0,27.8,1766846851617,261.4868
ONT,SELL,LIMIT,IOC,746.4,0.0691,0.0697,FILLED,474.0,746.4,1766846851776,51.57623999999999
BEAT,SELL,LIMIT,IOC,405,2.0639000,2.1024044,FILLED,93,405,1766846852245,835.8794999999999
BEAT,SELL,LIMIT,IOC,16,2.0620000,2.1026000,FILLED,16,16,1766846855508,32.992
ZEN,BUY,LIMIT,IOC,24.0,9.410,9.317,FILLED,7.9,24.0,1766846856426,225.84
DASH,BUY,LIMIT,IOC,0.903,44.95,44.46,FILLED,0.903,0.903,1766846859164,40.589850000000006
LTC,BUY,LIMIT,IOC,76.393,78.79,78.48,FILLED,76.393,76.393,1766846861334,6019.004470000001
AT,SELL,LIMIT,IOC,1888,0.1553000,0.1572433,FILLED,54,1888,1766846863643,293.2064
ROSE,BUY,LIMIT,IOC,15314,0.01137,0.01127,FILLED,14376,15314,1766846879793,174.12018
LTC,BUY,LIMIT,IOC,0.761,78.86,78.48,FILLED,0.761,0.761,1766846884683,60.01246
BEAT,SELL,LIMIT,IOC,3,2.0629000,2.1006000,FILLED,3,3,1766846885274,6.1887
SUI,BUY,LIMIT,IOC,4.2,1.435000,1.421500,FILLED,3.5,4.2,1766846887358,6.027
XVG,BUY,LIMIT,IOC,1245,0.0053150,0.0052460,FILLED,1245,1245,1766846887388,6.6171750000000005
MTL,BUY,LIMIT,IOC,30,0.3601,0.3547,FILLED,22,30,1766846889272,10.802999999999999
LINK,BUY,LIMIT,IOC,19.96,12.366,12.308,FILLED,16.68,19.96,1766846889645,246.82536000000002
SUI,BUY,LIMIT,IOC,187.6,1.436000,1.422500,FILLED,143.4,187.6,1766846890462,269.3936
XVG,BUY,LIMIT,IOC,1244,0.0053250,0.0052480,FILLED,1244,1244,1766846891272,6.6243
APT,BUY,LIMIT,IOC,6.2,1.75910,1.74220,FILLED,6.2,6.2,1766846891457,10.90642
ZBT,SELL,LIMIT,IOC,334,0.1122000,0.1138000,FILLED,334,334,1766846892240,37.474799999999995
SUI,BUY,LIMIT,IOC,116.9,1.436300,1.422200,FILLED,116.9,116.9,1766846892398,167.90347
SUI,BUY,LIMIT,IOC,1000.5,1.437700,1.423900,FILLED,341.2,1000.5,1766846897739,1438.41885
XVG,BUY,LIMIT,IOC,1243,0.0053280,0.0052480,FILLED,1243,1243,1766846899281,6.622704000000001
0G,SELL,LIMIT,IOC,229,0.9974000,1.0072135,FILLED,10,229,1766846904235,228.4046
DAM,BUY,LIMIT,IOC,2691,0.0241500,0.0231200,FILLED,2691,2691,1766846904576,64.98765
AT,SELL,LIMIT,IOC,48,0.1543000,0.1566400,FILLED,48,48,1766846905279,7.4064
APT,BUY,LIMIT,IOC,497.6,1.76150,1.74590,FILLED,68.4,497.6,1766846911505,876.5224000000001
ROSE,BUY,LIMIT,IOC,24670,0.01139,0.01129,FILLED,24670,24670,1766846923651,280.9913
ZEC,BUY,LIMIT,IOC,0.999,516.36,511.35,FILLED,0.006,0.999,1766846928493,515.84364
ZEC,BUY,LIMIT,IOC,0.049,516.47,511.69,FILLED,0.049,0.049,1766846931469,25.30703
ZEC,BUY,LIMIT,IOC,0.269,516.67,511.46,FILLED,0.269,0.269,1766846933693,138.98423
DASH,BUY,LIMIT,IOC,3.064,45.04,44.57,FILLED,2.058,3.064,1766846934608,138.00256
DASH,BUY,LIMIT,IOC,0.927,45.08,44.64,FILLED,0.927,0.927,1766846937632,41.78916
TRADOOR,BUY,LIMIT,IOC,30,1.4560000,1.4300000,FILLED,30,30,1766846938227,43.68
DASH,BUY,LIMIT,IOC,7.317,45.09,44.62,FILLED,0.082,7.317,1766846939520,329.92353
DASH,BUY,LIMIT,IOC,2.000,45.10,44.62,FILLED,2.000,2.000,1766846940672,90.2
VELVET,BUY,LIMIT,IOC,2598,0.1497500,0.1480613,FILLED,264,2598,1766846944392,389.0505
ONT,BUY,LIMIT,IOC,6916.0,0.0707,0.0699,FILLED,1474.9,6916.0,1766846947628,488.9612
AIN,SELL,LIMIT,IOC,13150,0.0572100,0.0580775,FILLED,2517,13150,1766846949174,752.3114999999999
STABLE,SELL,LIMIT,IOC,182879,0.0129280,0.0130471,FILLED,171,182879,1766846951557,2364.259712
ZBT,SELL,LIMIT,IOC,500,0.1121000,0.1137000,FILLED,500,500,1766846952067,56.050000000000004
POWER,SELL,LIMIT,IOC,40,0.3057100,0.3142400,FILLED,40,40,1766846952067,12.228399999999999
RVV,BUY,LIMIT,IOC,10686,0.0042540,0.0040670,FILLED,10686,10686,1766846953393,45.458244
KAITO,SELL,LIMIT,IOC,383.2,0.548300,0.553200,FILLED,383.2,383.2,1766846954287,210.10856
ZBT,SELL,LIMIT,IOC,104,0.1121000,0.1138000,FILLED,104,104,1766846954396,11.6584
RVV,BUY,LIMIT,IOC,475079,0.0042600,0.0040624,FILLED,15061,475079,1766846954420,2023.83654
AT,BUY,LIMIT,IOC,197,0.1593000,0.1570300,FILLED,197,197,1766846960175,31.3821
DAM,BUY,LIMIT,IOC,1781,0.0242500,0.0233400,FILLED,1781,1781,1766846963227,43.18925
KAITO,SELL,LIMIT,IOC,3535.4,0.547400,0.552525,FILLED,204.0,3535.4,1766846964459,1935.2779600000001
DAM,BUY,LIMIT,IOC,311,0.0244700,0.0233600,FILLED,311,311,1766846968465,7.610169999999999
DAM,BUY,LIMIT,IOC,333,0.0247700,0.0235800,FILLED,333,333,1766846974280,8.24841
AIN,BUY,LIMIT,IOC,674,0.0594100,0.0586500,FILLED,453,674,1766846980231,40.042339999999996
DAM,BUY,LIMIT,IOC,121494,0.0248600,0.0238117,FILLED,5199,121494,1766846982156,3020.34084
ONT,BUY,LIMIT,IOC,34647.1,0.0705,0.0700,FILLED,34647.1,34647.1,1766846982156,2442.6205499999996
TRADOOR,BUY,LIMIT,IOC,36,1.4640000,1.4383055,FILLED,11,36,1766846989159,52.704
LIGHT,BUY,LIMIT,IOC,35,0.5661000,0.5581000,FILLED,35,35,1766846989159,19.8135
